storeid,year,state,southj,centralj,northj,pa1,pa2,chain,co_owned,hrsopen,price,fte,wage_st
1,92,1,0,1,0,0,0,1,0,16.0,2.6100001,35.0,4.5
1,93,1,0,1,0,0,0,1,0,16.0,2.74,44.0,5.0500002
2,92,1,0,1,0,0,0,1,0,14.0,2.9299998,16.0,4.75
2,93,1,0,1,0,0,0,1,0,15.0,3.0,15.5,5.25
3,92,1,0,1,0,0,0,2,0,10.0,5.0999999,15.5,4.25
3,93,1,0,1,0,0,0,2,0,11.0,4.7399998,10.5,5.0500002
4,92,1,0,1,0,0,0,3,0,12.5,4.190000100000001,19.0,4.75
4,93,1,0,1,0,0,0,3,0,13.5,3.48,24.0,5.0500002
6,92,1,0,1,0,0,0,3,1,7.0,4.7199998,5.0,5.0
6,93,1,0,1,0,0,0,3,1,8.0,4.3499999,8.0,5.0500002
9,92,1,0,1,0,0,0,1,0,16.0,2.5599998999999998,36.0,4.369999900000001
9,93,1,0,1,0,0,0,1,0,16.0,3.04,20.0,5.0500002
12,92,1,0,1,0,0,0,1,0,16.0,2.75,21.25,4.369999900000001
12,93,1,0,1,0,0,0,1,0,16.0,2.8699999,26.5,5.0500002
13,92,1,0,1,0,0,0,2,0,10.0,4.670000099999999,15.5,4.5
13,93,1,0,1,0,0,0,2,0,11.0,4.6999998,10.5,5.0
14,92,1,0,1,0,0,0,2,0,11.0,4.4000001,16.0,5.119999900000001
14,93,1,0,1,0,0,0,2,0,11.0,4.5899997,15.5,5.0500002
15,92,1,0,1,0,0,0,3,0,17.0,2.95,19.5,4.5999999
15,93,1,0,1,0,0,0,3,0,17.0,4.059999899999999,18.0,5.0500002
17,92,1,0,1,0,0,0,3,0,17.0,4.0799999,14.0,4.369999900000001
17,93,1,0,1,0,0,0,3,0,17.0,2.9400001000000002,25.5,5.0500002
19,92,1,1,0,0,0,0,1,0,16.0,2.8899999,23.5,4.25
19,93,1,1,0,0,0,0,1,0,16.0,2.9200001,33.0,5.0500002
21,92,1,1,0,0,0,0,2,0,10.5,3.99,14.0,4.4499998
21,93,1,1,0,0,0,0,2,0,10.0,4.3099999,7.5,5.0500002
22,92,1,1,0,0,0,0,3,0,16.0,2.8499999,14.5,4.3499999
22,93,1,1,0,0,0,0,3,0,15.0,3.04,12.5,5.0500002
23,92,1,0,0,1,0,0,1,0,16.0,2.96,15.5,4.5
23,93,1,0,0,1,0,0,1,0,16.5,2.9299998,24.0,5.0500002
26,92,1,0,0,1,0,0,1,0,16.0,2.95,41.5,5.5599999
26,93,1,0,0,1,0,0,1,0,16.0,2.8899999,24.0,5.0500002
27,92,1,0,1,0,0,0,2,1,10.0,4.25,13.0,5.0
27,93,1,0,1,0,0,0,2,1,10.0,4.420000099999999,7.5,5.0500002
