weeks_work,employed,kidcount,morekids,multi2nd,samesex,black,hisp,age_mother,hsgrad,colgrad
52,1,2,0,0,0,1,0,32,1,0
32,1,4,1,0,0,0,0,34,0,1
52,1,3,1,0,0,0,0,31,0,1
12,1,3,1,0,0,0,0,24,1,0
0,0,2,0,0,1,0,0,30,1,0
52,1,3,1,0,0,0,0,32,1,0
0,0,2,0,0,0,1,0,31,1,0
0,0,2,0,0,1,0,0,29,0,1
52,1,3,1,0,1,0,0,30,1,0
52,1,2,0,0,1,0,0,28,0,1
16,1,2,0,0,0,0,0,33,1,0
0,0,2,0,0,1,1,0,23,0,0
0,0,3,1,0,1,0,0,29,0,1
0,0,3,1,0,0,0,0,30,0,1
0,0,3,1,0,0,0,0,33,0,0
0,0,2,0,0,0,0,0,25,1,0
0,0,4,1,0,1,0,0,26,0,0
0,0,3,1,0,0,0,0,34,1,0
52,1,2,0,0,0,0,0,34,0,0
48,1,3,1,0,0,0,0,33,0,1
49,1,2,0,0,0,1,0,35,0,0
52,1,3,1,0,1,0,0,34,1,0
20,1,2,0,0,0,0,0,34,1,0
12,1,2,0,0,1,0,0,27,0,1
32,1,2,0,0,0,1,0,22,0,0
32,1,2,0,0,0,0,0,31,0,1
52,1,2,0,0,1,0,0,34,1,0
52,1,2,0,0,1,0,0,33,1,0
0,0,2,0,0,0,0,0,34,0,0
52,1,2,0,0,0,0,0,29,0,0
0,0,2,0,0,1,0,0,30,1,0
44,1,2,0,0,0,1,0,27,0,1
46,1,2,0,0,0,0,0,25,1,0
52,1,4,1,0,0,0,0,33,1,0
52,1,3,1,0,1,0,0,31,0,0
52,1,3,1,0,1,0,0,28,1,0
52,1,2,0,0,1,0,0,33,0,1
0,0,3,1,0,1,0,0,35,0,1
0,0,2,0,0,0,0,0,29,0,0
0,0,3,1,0,0,0,0,26,0,1
0,0,2,0,0,1,0,0,24,0,0
52,1,3,1,0,0,0,0,30,1,0
0,0,2,0,0,1,0,0,31,1,0
52,1,2,0,0,0,0,0,31,1,0
0,0,2,0,0,0,0,0,27,1,0
0,0,2,0,0,1,0,0,30,1,0
0,0,2,0,0,1,1,0,32,1,0
0,0,3,1,0,1,0,0,32,1,0
0,0,2,0,0,1,0,0,32,1,0
52,1,3,1,0,1,1,0,34,1,0
0,0,2,0,0,1,0,0,33,0,1
52,1,3,1,0,1,1,0,33,0,1
52,1,3,1,0,0,0,0,31,0,1
0,0,2,0,0,0,0,0,34,1,0
52,1,3,1,0,1,0,0,35,1,0
0,0,2,0,0,1,0,0,25,1,0
0,0,2,0,0,1,0,0,31,0,1
0,0,3,1,0,0,0,0,30,0,1
16,1,2,0,0,1,0,0,32,0,0
52,1,2,0,0,0,0,0,35,0,1
0,0,4,1,0,1,0,0,35,0,1
